Type,Trans Date,Post Date,Description,Amount
SALE,08/14/2015,08/16/2015,"MAC'S BACKS-BOOKS ON COV",-18.36
SALE,09/14/2015,09/14/2015,"Amazon.com",-32.39
SALE,08/19/2015,08/21/2015,"HIGH THAI D",-26.40
SALE,08/16/2015,08/18/2015,"SARAHS VINEYARD",-18.01
SALE,10/23/2015,10/25/2015,"ELECTRONIC ACCESSOIRES",-43.34
SALE,09/06/2015,09/08/2015,"RETRO DOG LLC",-3.99
SALE,08/15/2015,08/16/2015,"CHIPOTLE 1762",-12.67
SALE,08/30/2015,08/31/2015,"ALADDINS EATERY-PORTAGE T",-17.34
SALE,10/20/2015,10/22/2015,"SHELL OIL 57424318004",-7.78
SALE,11/03/2015,11/04/2015,"PETSMART INC 2313",-97.60
SALE,08/27/2015,08/28/2015,"ALADDINS EATERY",-39.45
SALE,08/29/2015,08/30/2015,"CHIPOTLE 0079",-27.94
SALE,10/13/2015,10/14/2015,"ALADDINS EATERY",-12.50
SALE,08/24/2015,08/25/2015,"ZAGARA'S MARKETPLA",-44.01
SALE,08/24/2015,08/25/2015,"SQ *PHOENIX COFFEE COMPAN",-7.00
SALE,09/06/2015,09/08/2015,"STARBUCKS     11171501",-7.80
SALE,08/24/2015,08/26/2015,"U-HAUL MOVING & STORAGE A",-7.77
SALE,08/24/2015,08/25/2015,"CVS/PHARMACY #07687",-4.29
SALE,08/17/2015,08/18/2015,"OH FARM BUREAU FEDERATION",-70.00
SALE,10/04/2015,10/06/2015,"SHELL OIL 57424318004",-8.81
SALE,10/19/2015,10/21/2015,"COST PLUS WLD #115",-6.46
SALE,11/10/2015,11/12/2015,"SHELL OIL 57424318004",-22.12
SALE,09/14/2015,09/16/2015,"U-HAUL MOVING & STORAGE A",-3.19
SALE,08/13/2015,08/14/2015,"PETSMART INC 2313",-25.37
SALE,09/29/2015,09/30/2015,"ALADDINS EATERY",-27.85
SALE,09/02/2015,09/03/2015,"SQ *PHOENIX COFFEE COMPAN",-2.00
SALE,11/09/2015,11/11/2015,"LOPEZ",-77.40
SALE,10/16/2015,10/18/2015,"EXKI 009",-4.48
SALE,10/12/2015,10/13/2015,"HIGH THAI D",-44.02
SALE,09/03/2015,09/04/2015,"SQ *PHOENIX COFFEE COMPAN",-4.60
SALE,08/29/2015,08/30/2015,"CVS/PHARMACY #03634",-27.92
SALE,11/08/2015,11/10/2015,"TOMMYS",-36.52
SALE,10/28/2015,10/29/2015,"Go Gourmet",-45.38
SALE,08/12/2015,08/13/2015,"DICK'S CLOTHING&SPORTING",-95.03
SALE,11/07/2015,11/08/2015,"LAURA LEE SALON INC",-175.36
SALE,09/10/2015,09/13/2015,"STONE OVEN BAKERY",-4.50
SALE,11/03/2015,11/05/2015,"TROPICAL",-10.98
SALE,08/10/2015,08/11/2015,"ALADDINS EATERY",-21.80
SALE,11/04/2015,11/05/2015,"KENKO SUSHI & TERIYAKI",-7.95
SALE,10/12/2015,10/13/2015,"SQ *PHOENIX COFFEE COMPAN",-2.00
SALE,10/12/2015,10/13/2015,"YUL PIZZA",-4.45
SALE,08/18/2015,08/18/2015,"CHEAPOAIR.COM AIR",-29.90
SALE,10/31/2015,11/01/2015,"Musikfreunde in Wien",-86.37
SALE,08/09/2015,08/10/2015,"CVS/PHARMACY #03634",-13.76
SALE,09/14/2015,09/15/2015,"HIGH THAI D",-41.89
SALE,09/05/2015,09/06/2015,"ALADDINS EATERY-PORTAGE T",-21.13
SALE,08/16/2015,08/17/2015,"TARGET        00018044",-32.39
SALE,11/09/2015,11/10/2015,"SQ *PHOENIX COFFEE COMPAN",-2.45
SALE,09/12/2015,09/13/2015,"CLEVELAND HEIGHTS UNIVERS",-5.00
SALE,10/01/2015,10/02/2015,"SQ *PHOENIX COFFEE COMPAN",-4.35
SALE,10/02/2015,10/04/2015,"SUNOCO 0705354900",-7.65
SALE,09/28/2015,09/29/2015,"WHOLEFDS CTR 10199",-106.30
SALE,08/31/2015,09/01/2015,"SQ *PHOENIX COFFEE COMPAN",-4.30
SALE,10/10/2015,10/11/2015,"WHOLEFDS CTR 10199",-36.72
SALE,08/14/2015,08/16/2015,"PAYPAL *MYMEDHOUSIN",-25.00
SALE,11/10/2015,11/11/2015,"CVS/PHARMACY #07687",-9.71
SALE,09/08/2015,09/10/2015,"CAFE TANDOOR CLEVELAND HE",-82.04
SALE,11/03/2015,11/04/2015,"SQ *PHOENIX COFFEE COMPAN",-6.40
